Country,max_active,current_active,current_active_pct,active_from_peak_pct,Group % Cases Active From Peak,Group % Cases Active
Afghanistan,20311.0,7489.0,19.55965315503552,36.87164590615922,25% - 50%,< 25%
Albania,4031.0,3811.0,38.71393742381146,94.54229719672537,90% - 99%,25% - 5%
Algeria,11934.0,11934.0,26.246453627746373,100.0,100% (Active Cases Still Rising),25% - 5%
Andorra,504.0,237.0,19.76647206005004,47.023809523809526,25% - 50%,< 25%
Angola,1550.0,1548.0,55.18716577540107,99.87096774193547,100% (Active Cases Still Rising),50% - 75%
Antigua and Barbuda,44.0,1.0,1.0526315789473684,2.272727272727273,< 25%,< 25%
Argentina,140862.0,119376.0,26.457564084947183,84.74677343783277,75% - 90%,25% - 5%
Armenia,12143.0,4529.0,10.230173251112467,37.29720826813802,25% - 50%,< 25%
Australia,9380.0,3487.0,13.34175084175084,37.17484008528785,25% - 50%,< 25%
Austria,9334.0,3466.0,12.216269561539546,37.13306192414827,25% - 50%,< 25%
Azerbaijan,8651.0,2094.0,5.674950540665058,24.20529418564328,< 25%,< 25%
Bahamas,1509.0,1443.0,60.47778709136631,95.62624254473161,90% - 99%,50% - 75%
Bahrain,5727.0,3230.0,6.044953493159658,56.39951108782958,50% - 70%,< 25%
Bangladesh,115779.0,101323.0,31.694537765182083,87.51414332478255,75% - 90%,25% - 5%
Barbados,56.0,20.0,11.299435028248588,35.714285714285715,25% - 50%,< 25%
Belarus,25477.0,401.0,0.5546181295123233,1.5739686776308042,< 25%,< 25%
Belgium,58132.0,58132.0,67.1704566463302,100.0,100% (Active Cases Still Rising),50% - 75%
Belize,863.0,848.0,77.02089009990918,98.26187717265353,90% - 99%,75% - 90%
Benin,929.0,416.0,18.960802187784868,44.77933261571582,25% - 50%,< 25%
Bhutan,85.0,77.0,33.92070484581498,90.58823529411765,90% - 99%,25% - 5%
Bolivia,60928.0,47609.0,40.08132613801871,78.13977153361344,75% - 90%,25% - 5%
Bosnia and Herzegovina,6264.0,6048.0,29.071332436069987,96.55172413793103,90% - 99%,25% - 5%
Botswana,1403.0,1225.0,71.05568445475639,87.3129009265859,75% - 90%,50% - 75%
Brazil,598313.0,487589.0,12.064143300315369,81.49396720445652,75% - 90%,< 25%
Brunei,109.0,3.0,2.0689655172413794,2.7522935779816518,< 25%,< 25%
Bulgaria,5205.0,4182.0,24.929955290611026,80.34582132564842,75% - 90%,< 25%
Burkina Faso,321.0,245.0,17.81818181818182,76.32398753894081,75% - 90%,< 25%
Burma,746.0,746.0,67.14671467146715,100.0,100% (Active Cases Still Rising),50% - 75%
Burundi,120.0,90.0,20.089285714285715,75.0,50% - 70%,< 25%
Cabo Verde,1080.0,582.0,14.10909090909091,53.888888888888886,50% - 70%,< 25%
Cambodia,88.0,2.0,0.7299270072992701,2.272727272727273,< 25%,< 25%
Cameroon,4183.0,741.0,3.7798408488063657,17.714558928998326,< 25%,< 25%
Canada,36033.0,6061.0,4.573407682962717,16.820692143313074,< 25%,< 25%
Central African Republic,3095.0,2860.0,60.47790230492704,92.40710823909531,90% - 99%,50% - 75%
Chad,400.0,33.0,3.2416502946954813,8.25,< 25%,< 25%
Chile,82961.0,15670.0,3.7622958888454052,18.888393341449596,< 25%,< 25%
China,58108.0,521.0,0.578978952281466,0.8966063192675707,< 25%,< 25%
Colombia,169326.0,131805.0,20.54400583564795,77.84096949080472,75% - 90%,< 25%
Comoros,104.0,31.0,6.919642857142858,29.807692307692307,25% - 50%,< 25%
Congo (Brazzaville),2784.0,2784.0,60.155574762316334,100.0,100% (Active Cases Still Rising),50% - 75%
Congo (Kinshasa),5722.0,499.0,4.928395061728395,8.720727018524991,< 25%,< 25%
Costa Rica,26340.0,26143.0,58.80381483647488,99.25208807896735,100% (Active Cases Still Rising),50% - 75%
Cote d'Ivoire,6170.0,1044.0,5.733743409490335,16.92058346839546,< 25%,< 25%
Croatia,2727.0,2634.0,23.74256354786371,96.58965896589659,90% - 99%,< 25%
Cuba,849.0,640.0,15.187470336971998,75.38280329799764,75% - 90%,< 25%
Cyprus,692.0,338.0,22.563417890520697,48.84393063583815,25% - 50%,< 25%
Czechia,7363.0,7363.0,27.83532436110691,100.0,100% (Active Cases Still Rising),25% - 5%
Denmark,3838.0,1282.0,7.202247191011237,33.40281396560709,25% - 50%,< 25%
Diamond Princess,691.0,48.0,6.741573033707865,6.946454413892909,< 25%,< 25%
Djibouti,2390.0,0.0,0.0,0.0,< 25%,< 25%
Dominica,14.0,2.0,10.0,14.285714285714285,< 25%,< 25%
Dominican Republic,35057.0,23957.0,24.792764077036914,68.33727928801666,50% - 70%,< 25%
Ecuador,44283.0,7661.0,6.583877621175661,17.300092586319806,< 25%,< 25%
Egypt,55230.0,18531.0,18.63816947447825,33.55241716458446,25% - 50%,< 25%
El Salvador,11773.0,10142.0,39.00769230769231,86.1462668818483,75% - 90%,25% - 5%
Equatorial Guinea,2556.0,492.0,9.909365558912386,19.248826291079812,< 25%,< 25%
Eritrea,159.0,35.0,10.606060606060606,22.0125786163522,< 25%,< 25%
Estonia,1395.0,227.0,9.299467431380581,16.272401433691755,< 25%,< 25%
Eswatini,1627.0,837.0,17.733050847457626,51.444376152427786,50% - 70%,< 25%
Ethiopia,34074.0,34074.0,61.71372683969355,100.0,100% (Active Cases Still Rising),50% - 75%
Fiji,17.0,4.0,13.793103448275861,23.52941176470588,< 25%,< 25%
Finland,2865.0,514.0,6.2682926829268295,17.94066317626527,< 25%,< 25%
France,219847.0,219847.0,65.00118266217255,100.0,100% (Active Cases Still Rising),50% - 75%
Gabon,3143.0,1150.0,13.469196533145936,36.58924594336621,25% - 50%,< 25%
Gambia,2108.0,1927.0,62.14124475975492,91.41366223908919,90% - 99%,50% - 75%
Georgia,367.0,270.0,17.21938775510204,73.56948228882834,50% - 70%,< 25%
Germany,72864.0,17993.0,7.230750683169908,24.693950373298197,< 25%,< 25%
Ghana,8585.0,856.0,1.9144320443718827,9.970879440885264,< 25%,< 25%
Greece,9373.0,9373.0,85.22458628841608,100.0,100% (Active Cases Still Rising),75% - 90%
Grenada,14.0,0.0,0.0,0.0,< 25%,< 25%
Guatemala,27377.0,9155.0,11.989575421042982,33.440479234393834,25% - 50%,< 25%
Guinea,1686.0,792.0,8.268086439085499,46.97508896797153,25% - 50%,< 25%
Guinea-Bissau,1401.0,1044.0,47.3469387755102,74.51820128479658,50% - 70%,25% - 5%
Guyana,590.0,552.0,39.400428265524624,93.55932203389831,90% - 99%,25% - 5%
Haiti,5099.0,2221.0,26.755812552704494,43.557560305942346,25% - 50%,25% - 5%
Holy See,10.0,0.0,0.0,0.0,< 25%,< 25%
Honduras,49586.0,49586.0,78.51103581494031,100.0,100% (Active Cases Still Rising),75% - 90%
Hungary,2373.0,2373.0,34.27704752275025,100.0,100% (Active Cases Still Rising),25% - 5%
Iceland,1096.0,95.0,4.464285714285714,8.667883211678832,< 25%,< 25%
India,831124.0,831124.0,21.111948519932827,100.0,100% (Active Cases Still Rising),< 25%
Indonesia,44463.0,44463.0,24.129528729893416,100.0,100% (Active Cases Still Rising),< 25%
Iran,34887.0,30225.0,7.938363108213875,86.63685613552326,75% - 90%,< 25%
Iraq,52007.0,52007.0,21.052141564692214,100.0,100% (Active Cases Still Rising),< 25%
Ireland,14888.0,4065.0,13.918372937067724,27.303868887694787,25% - 50%,< 25%
Israel,36378.0,24825.0,19.946968783897795,68.241794491176,50% - 70%,< 25%
Italy,108257.0,28915.0,10.59499032655215,26.709589218249167,25% - 50%,< 25%
Jamaica,1946.0,1946.0,67.19613259668509,100.0,100% (Active Cases Still Rising),50% - 75%
Japan,17240.0,10744.0,15.287856797290761,62.32018561484919,50% - 70%,< 25%
Jordan,570.0,570.0,25.52619793999104,100.0,100% (Active Cases Still Rising),25% - 5%
Kazakhstan,34497.0,5948.0,5.604922682598167,17.242079021364177,< 25%,< 25%
Kenya,13795.0,13476.0,38.83013974931566,97.68756795940558,90% - 99%,25% - 5%
"Korea, South",7577.0,4728.0,22.684963055368968,62.39936650389336,50% - 70%,< 25%
Kosovo,4086.0,3407.0,26.862729638098244,83.38228095937346,75% - 90%,25% - 5%
Kuwait,15831.0,8051.0,9.213989791480694,50.85591560861601,50% - 70%,< 25%
Kyrgyzstan,13002.0,3902.0,8.84105585136513,30.01076757421935,25% - 50%,< 25%
Laos,19.0,1.0,4.545454545454546,5.263157894736842,< 25%,< 25%
Latvia,646.0,189.0,13.404255319148936,29.256965944272444,25% - 50%,< 25%
Lebanon,13446.0,13446.0,70.90650213573801,100.0,100% (Active Cases Still Rising),50% - 75%
Lesotho,645.0,526.0,48.47926267281106,81.55038759689923,75% - 90%,25% - 5%
Liberia,558.0,61.0,4.670750382848392,10.931899641577061,< 25%,< 25%
Libya,13663.0,13663.0,86.62270969378051,100.0,100% (Active Cases Still Rising),75% - 90%
Liechtenstein,46.0,9.0,8.411214953271028,19.565217391304348,< 25%,< 25%
Lithuania,1047.0,991.0,33.277367360644725,94.65138490926456,90% - 99%,25% - 5%
Luxembourg,2870.0,613.0,9.000146821318456,21.358885017421603,< 25%,< 25%
MS Zaandam,7.0,7.0,77.77777777777779,100.0,100% (Active Cases Still Rising),75% - 90%
Madagascar,3631.0,878.0,5.812260029127499,24.180666483062517,< 25%,< 25%
Malawi,2314.0,1902.0,34.00679420704452,82.19533275713052,75% - 90%,25% - 5%
Malaysia,2596.0,163.0,1.7388521442287177,6.2788906009245,< 25%,< 25%
Maldives,2773.0,2769.0,33.437990580847725,99.85575189325641,100% (Active Cases Still Rising),25% - 5%
Mali,684.0,478.0,17.02885643035269,69.88304093567251,50% - 70%,< 25%
Malta,699.0,424.0,21.57760814249364,60.65808297567954,50% - 70%,< 25%
Mauritania,2968.0,358.0,5.037996059667886,12.06199460916442,< 25%,< 25%
Mauritius,286.0,11.0,3.089887640449438,3.8461538461538463,< 25%,< 25%
Mexico,53350.0,39939.0,6.474207886606127,74.8622305529522,50% - 70%,< 25%
Moldova,10767.0,10319.0,26.892004586677785,95.83913810717934,90% - 99%,25% - 5%
Monaco,86.0,48.0,33.56643356643357,55.81395348837209,50% - 70%,25% - 5%
Mongolia,141.0,14.0,4.516129032258064,9.929078014184398,< 25%,< 25%
Montenegro,2065.0,897.0,17.366892545982576,43.43825665859564,25% - 50%,< 25%
Morocco,15280.0,14379.0,21.507740632712586,94.10340314136126,90% - 99%,< 25%
Mozambique,1922.0,1811.0,43.04730211552175,94.22476586888658,90% - 99%,25% - 5%
Namibia,4513.0,4513.0,55.840138579559515,100.0,100% (Active Cases Still Rising),50% - 75%
Nepal,18413.0,18413.0,42.94376938685076,100.0,100% (Active Cases Still Rising),25% - 5%
Netherlands,67709.0,67709.0,89.85216837411753,100.0,100% (Active Cases Still Rising),75% - 90%
New Zealand,929.0,112.0,6.349206349206349,12.055974165769644,< 25%,< 25%
Nicaragua,1614.0,1614.0,34.5758354755784,100.0,100% (Active Cases Still Rising),25% - 5%
Niger,511.0,17.0,1.4443500424808835,3.326810176125244,< 25%,< 25%
Nigeria,22707.0,10913.0,19.991573239539825,48.06006958206721,25% - 50%,< 25%
North Macedonia,4199.0,2191.0,14.842162308630266,52.179090259585614,50% - 70%,< 25%
Norway,8042.0,1508.0,13.56115107913669,18.75155433971649,< 25%,< 25%
Oman,23276.0,3847.0,4.453577216948368,16.527753909606464,< 25%,< 25%
Pakistan,108642.0,8909.0,2.994501062142031,8.200327681743708,< 25%,< 25%
Panama,25172.0,24670.0,25.991950607918746,98.00572064198315,90% - 99%,25% - 5%
Papua New Guinea,234.0,234.0,49.681528662420384,100.0,100% (Active Cases Still Rising),25% - 5%
Paraguay,9335.0,9335.0,46.77088030462448,100.0,100% (Active Cases Still Rising),25% - 5%
Peru,168092.0,147884.0,22.504561509231824,87.97801204102515,75% - 90%,< 25%
Philippines,83109.0,65240.0,28.56354776425879,78.49932016989737,75% - 90%,25% - 5%
Poland,18834.0,18444.0,26.68055374734193,97.92927683975789,90% - 99%,25% - 5%
Portugal,24065.0,14795.0,25.054613808402905,61.47932682318719,50% - 70%,25% - 5%
Qatar,35634.0,2906.0,2.4334282364763022,8.155132738395913,< 25%,< 25%
Romania,48216.0,48216.0,52.83597790830192,100.0,100% (Active Cases Still Rising),50% - 75%
Russia,245382.0,164661.0,16.35288894980053,67.10394405457613,50% - 70%,< 25%
Rwanda,2130.0,2074.0,48.74265569917744,97.37089201877934,90% - 99%,25% - 5%
Saint Kitts and Nevis,15.0,0.0,0.0,0.0,< 25%,< 25%
Saint Lucia,14.0,0.0,0.0,0.0,< 25%,< 25%
Saint Vincent and the Grenadines,21.0,4.0,6.557377049180328,19.047619047619047,< 25%,< 25%
San Marino,475.0,33.0,4.489795918367347,6.947368421052631,< 25%,< 25%
Sao Tome and Principe,487.0,25.0,2.787068004459309,5.133470225872689,< 25%,< 25%
Saudi Arabia,63026.0,20373.0,6.4001834637580535,32.32475486307238,25% - 50%,< 25%
Senegal,4419.0,3986.0,28.829741067553883,90.20140303236026,90% - 99%,25% - 5%
Serbia,30958.0,30958.0,97.73329965904786,100.0,100% (Active Cases Still Rising),> 90%
Seychelles,89.0,9.0,6.61764705882353,10.112359550561797,< 25%,< 25%
Sierra Leone,513.0,364.0,17.88697788697789,70.9551656920078,50% - 70%,< 25%
Singapore,20799.0,853.0,1.498910522246433,4.101158709553344,< 25%,< 25%
Slovakia,1565.0,1509.0,36.24789815037233,96.42172523961662,90% - 99%,25% - 5%
Slovenia,1109.0,496.0,16.358839050131927,44.72497745716862,25% - 50%,< 25%
Somalia,1953.0,731.0,22.084592145015105,37.429595494111624,25% - 50%,< 25%
South Africa,173590.0,63565.0,10.041626185793385,36.61789273575667,25% - 50%,< 25%
South Sudan,1774.0,1196.0,47.21673904461113,67.41826381059752,50% - 70%,25% - 5%
Spain,308903.0,308903.0,63.233322347614084,100.0,100% (Active Cases Still Rising),50% - 75%
Sri Lanka,947.0,216.0,6.943105110896817,22.80887011615628,< 25%,< 25%
Sudan,5754.0,5754.0,43.62726514519675,100.0,100% (Active Cases Still Rising),25% - 5%
Suriname,1014.0,824.0,19.54922894424674,81.26232741617358,75% - 90%,< 25%
Sweden,78897.0,78897.0,93.11687851857099,100.0,100% (Active Cases Still Rising),> 90%
Switzerland,14349.0,4614.0,10.698634266236928,32.155550909471046,25% - 50%,< 25%
Syria,2168.0,2168.0,72.9229734275143,100.0,100% (Active Cases Still Rising),50% - 75%
Taiwan*,314.0,11.0,2.2494887525562373,3.5031847133757963,< 25%,< 25%
Tajikistan,1895.0,1139.0,13.107019562715767,60.10554089709762,50% - 70%,< 25%
Tanzania,305.0,305.0,59.921414538310415,100.0,100% (Active Cases Still Rising),50% - 75%
Thailand,1451.0,96.0,2.7980180705333724,6.616126809097174,< 25%,< 25%
Timor-Leste,22.0,2.0,7.4074074074074066,9.090909090909092,< 25%,< 25%
Togo,373.0,341.0,23.63132363132363,91.42091152815014,90% - 99%,< 25%
Trinidad and Tobago,1255.0,1255.0,63.256048387096776,100.0,100% (Active Cases Still Rising),50% - 75%
Tunisia,2629.0,2629.0,59.83158852981339,100.0,100% (Active Cases Still Rising),50% - 75%
Turkey,80808.0,20345.0,7.39971557741059,25.176962676962678,25% - 50%,< 25%
US,3696269.0,3696269.0,60.10177859699877,100.0,100% (Active Cases Still Rising),50% - 75%
Uganda,1723.0,1723.0,52.40267639902676,100.0,100% (Active Cases Still Rising),50% - 75%
Ukraine,66713.0,66713.0,50.809596344249805,100.0,100% (Active Cases Still Rising),50% - 75%
United Arab Emirates,17173.0,9099.0,12.610527482883832,52.98433587608456,50% - 70%,< 25%
United Kingdom,299342.0,299342.0,87.34607887764511,100.0,100% (Active Cases Still Rising),75% - 90%
Uruguay,319.0,155.0,9.47432762836186,48.589341692789965,25% - 50%,< 25%
Uzbekistan,9549.0,2276.0,5.331709145427286,23.834956539951826,< 25%,< 25%
Venezuela,12226.0,8901.0,17.845900916253985,72.80386062489775,50% - 70%,< 25%
Vietnam,491.0,256.0,24.47418738049713,52.138492871690424,50% - 70%,< 25%
West Bank and Gaza,8230.0,8209.0,33.545829757672344,99.74483596597813,100% (Active Cases Still Rising),25% - 5%
Western Sahara,6.0,1.0,10.0,16.666666666666664,< 25%,< 25%
Yemen,580.0,228.0,11.520970186963114,39.310344827586206,25% - 50%,< 25%
Zambia,2236.0,669.0,5.342170406452127,29.919499105545615,25% - 50%,< 25%
Zimbabwe,3190.0,1209.0,18.10422282120395,37.89968652037617,25% - 50%,< 25%
